postal_code,city,state,Fri_p0.95,Mon_p0.95,Sat_p0.95,Sun_p0.95,Thu_p0.95,Tue_p0.95,Wed_p0.95,Total P95
V6B 6N5,Vancouver,BC,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
V6C 0B9,Vancouver,BC,17.3,10.0,17.3,10.0,17.3,10.0,10.0,17.3
V6H 2M9,Vancouver,BC,,,,,,,,
V6J 2B6,Vancouver,BC,10.0,10.0,10.0,12.0,10.0,10.0,10.0,12.0
33330,Cooper City,FL,10.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0
78619,Driftwood,TX,16.0,12.0,16.0,17.0,16.0,16.0,16.0,16.0
V5H 2E2,Burnaby,BC,10.3,10.3,10.3,11.0,10.3,10.3,10.3,11.0
V5T 3N4,Vancouver,BC,,,,,,,,
V5Z 3B2,Vancouver,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V6C 2R6,Vancouver,BC,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
V6G 2N1,Vancouver,BC,11.3,12.0,11.3,11.3,17.0,12.0,12.0,12.0
V6X 3A6,Richmond,BC,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
V6Y 2E8,Richmond,BC,12.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0
78774,Austin,TX,9.0,9.0,,,9.0,9.0,9.0,9.0
V3B 0J5,Coquitlam,BC,11.3,12.0,11.3,11.3,12.0,11.3,12.0,12.0
02139,Boston,MA,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
78619,Hays,TX,,,,,,,,
V4G 1B5,Delta,BC,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
V5C 5M1,Burnaby,BC,10.0,10.0,10.0,,10.0,10.0,10.0,10.0
V5J 5J2,Burnaby,BC,10.0,10.0,10.0,,10.0,10.0,10.0,10.0
V3L 1Y6,NEW WESTMINSTER,BC,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0
V7C 1H8,Richmond,BC,11.3,11.3,11.3,,11.3,11.3,11.3,11.3
V3K 7C1,Coquitlam,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V5N 5Y7,Vancouver,BC,9.0,9.0,,,9.0,9.0,9.0,9.0
02129,Somerville,MA,10.0,10.0,,,10.0,10.0,10.0,10.0
V7A 4P1,Richmond,BC,,,,,,,,
30340,Chamblee,GA,8.0,0.0,8.0,12.0,8.0,8.0,8.0,12.0
02140,Cambridge,MA,16.0,13.0,16.0,16.0,16.3,16.0,16.3,16.0
02460,Boston,MA,9.0,9.0,,,9.0,9.0,9.0,9.0
30318,ATLANTA,GA,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0
30329,Atlanta,GA,15.0,11.3,14.0,14.0,15.0,15.0,15.0,15.0
32765,Oviedo,FL,12.0,11.0,12.0,13.0,12.0,12.0,12.0,12.0
