postal_code,city,state,Fri_p0.95,Mon_p0.95,Sat_p0.95,Sun_p0.95,Thu_p0.95,Tue_p0.95,Wed_p0.95,Total P95
02215,Brookline,MA,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45
30067,Marrietta,GA,9.0,9.0,7.3,7.3,9.0,9.0,9.0,9.0
32927,Port St John,FL,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
V6J 4Z6,Vancouver,BC,10.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0
V5S 4V9,Vancouver,BC,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3
32859,Orlando,FL,9.0,9.0,6.3,6.3,9.0,9.0,9.0,9.0
V6B 6G1,Vancouver,BC,11.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0
V6K 1C6,Vancouver,BC,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
02018,Hingham,MA,9.0,9.0,9.0,12.0,9.0,9.0,9.0,12.0
78746,Lake Austin,TX,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
V3K 6H1,Coquitlam,BC,8.0,8.0,,,8.0,8.0,8.0,8.0
V7M 3H6,North Vancouver,BC,8.0,8.0,9.0,,8.0,8.0,8.0,9.0
V6M 2W2,Vancouver,BC,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
78704,Autin,TX,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3
32763,Orange City,FL,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0
43210,Columbus,OH,11.0,10.3,12.0,12.0,12.0,11.0,11.0,12.0
V5V 3N5,Vancouver,BC,12.0,,12.0,12.0,12.0,,12.0,12.0
V6Z 1R2,Vancouver,BC,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
V7J,North Vancouver,BC,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
V5X 4W1,Vancouver,BC,,,,,,,,
34715,Clermont,FL,6.3,6.3,,,6.3,6.3,6.3,6.3
V6G 1C2,Vancouver,BC,17.0,17.0,17.0,17.0,16.0,17.0,17.0,17.0
V6H 1A7,Vancouver,BC,9.0,9.0,,,9.0,9.0,9.0,9.0
V6Z 1Y9,Vancouver,BC,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0
V5Z 3T2,Vancouver,BC,,,,,,,,
38203,Orlando,FL,9.0,9.0,10.0,,9.0,9.0,9.0,10.0
V3H 1W4,Coquitlam,BC,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
78616,Dale,TX,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0
V6X 1S1,Richmond,BC,17.0,17.0,17.0,11.0,17.0,17.0,17.0,17.0
V6Z 2L9,Vancouver,BC,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
32807,Casselberry,FL,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
V6B 4M9,Vancouver,BC,10.0,,10.0,,10.0,10.0,10.0,10.0
V7R 2N4,North Vancouver,BC,9.3,9.3,9.3,12.0,9.3,9.3,9.3,12.0
V3H 5C7,Port Moody,BC,10.0,10.0,10.0,,10.0,10.0,10.0,10.0
32817,Oviedo,FL,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
V3B 6X5,Coquitlam,BC,,,,,,,,
02461,Newton Centre,MA,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
V7J 2C2,North Vancouver,BC,10.0,10.0,9.0,11.0,10.0,10.0,10.0,11.0
02115,Medford,MA,6.0,0.0,9.0,9.0,6.0,6.0,6.0,9.0
V7J 2J2,North Vancouver,BC,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
30033,Decatur,GA,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
30324,Atlanta,GA,16.0,15.0,14.0,15.3,17.0,16.0,17.0,16.0
32803,ORLANDO,FL,10.0,10.0,11.0,11.0,10.0,10.0,10.0,11.0
43220,Columbus,OH,16.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0
97003,Aloha,OR,11.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0
V3V 4B4,Surrey,BC,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
V6B 1R5,Vancouver,BC,9.0,9.0,10.0,,9.0,9.0,9.0,10.0
V6K 2G7,Vancouver,BC,11.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0
V7P 3R8,North Vancouver,BC,11.0,9.0,11.0,12.0,9.0,9.0,11.0,11.0
01906,Salem,MA,,,,2.15,,,,2.15
V5H 4T7,Burnaby,BC,17.0,17.0,11.3,11.3,17.0,17.0,17.0,17.0
V5T 1Z4,Vancouver,BC,,,,,,,,
V6G 3E4,Vancouver,BC,17.0,7.0,17.0,17.0,17.0,7.0,17.0,17.0
V6K 2Y5,Vancouver,BC,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0
V6S 0A5,Vancouver,BC,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0
V6X 2A2,Richmond,BC,17.0,17.0,11.0,11.0,17.0,17.0,17.0,17.0
97006,Hillsbor,OR,11.0,,11.0,,13.0,,,13.0
V3M 6H6,New Westminster,BC,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
V5T 3E6,Vancouver,BC,17.0,15.3,16.0,16.0,19.3,16.0,17.0,17.0
30168,Austell,GA,,,,,,,,
V3M 6N1,New Westminster,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
30344,Eastpoint,GA,,,,,,,,
V5H 3Z6,Burnaby,BC,,,,,,,,
V5Y 4A7,Vancouver,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V6H 1C9,Vancouver,BC,8.3,9.3,10.0,8.0,8.3,8.3,8.3,9.3
V6C 2X4,Vancouver,BC,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
V5Y 1P1,Vancouver,BC,11.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0
V6A 1T3,Vancouver,BC,17.0,11.0,17.0,17.0,17.0,17.0,17.0,17.0
V3L 3A5,New Westminster,BC,16.3,16.3,11.0,11.0,16.3,16.3,16.3,16.3
V7P 1E6,North Vancouver,BC,8.0,8.0,,,8.0,8.0,8.0,8.0
32926,COCOA,FL,0.0,6.0,0.0,6.0,0.0,6.0,6.0,6.0
V3W 4G1,Surrey,BC,8.3,8.3,9.0,,8.3,8.3,8.3,9.0
V5T 2R7,Vancouver,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V7C 5R4,Richmond,BC,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0
V6J 1K4,Vancouver,BC,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
78746,AUSTIN,TX,11.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0
V7P 1V5,North Vancouver,BC,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0
02125,Dorchester,MA,15.0,12.0,11.0,12.0,15.0,15.0,15.0,12.0
30344,E.Point,GA,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
32830,Kissimmee,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6R,Vancouver,BC,15.3,11.0,15.3,15.3,15.3,15.3,15.3,15.3
V6Z 1L5,Vancouver,BC,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
V6Z 1Z5,Vancouver,BC,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0
V7L 0A7,North Vancouver,BC,,,,,,,,
97078,Portland,OR,9.0,9.0,10.0,,9.0,9.0,9.0,10.0
V5C 0B8,Burnaby,BC,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
V5N 2S4,Vancouver,BC,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0
V5Y 1R4,Vancouver,BC,12.0,12.0,10.0,10.0,12.0,12.0,12.0,12.0
V6M 2V7,Vancouver,BC,9.0,0.0,,,10.0,10.0,10.0,10.0
V5C 0A4,Burnaby,BC,11.0,11.0,11.0,12.0,11.0,12.0,11.0,12.0
V6P 4Z2,Vancouver,BC,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
78610,Kyle,TX,9.0,,8.0,,9.0,9.0,9.0,9.0
V5Y 3A6,Vancouver,BC,8.0,13.0,,,15.0,8.0,13.0,15.0
V3M 6V3,New Westminster,BC,9.0,0.0,10.0,,9.0,9.0,9.0,10.0
V5K 4X7,Vancouver,BC,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
V6A 1Z7,Vancouver,BC,11.0,11.0,11.0,,11.0,11.0,11.0,11.0
32730,Orlando,FL,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
97286,Portland,OR,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0
V6M 3X5,Vancouver,BC,7.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0
V6V 2G9,Richmond,BC,9.0,9.0,9.0,,9.0,9.0,9.0,9.0
V5X 3L7,Vancouver,BC,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
V3K 6P9,Coquitlam,BC,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0
97035,Lake Owego,OR,9.3,9.3,9.3,,9.3,9.3,9.3,9.3
V6P 4A8,Vancouver,BC,11.3,11.3,11.3,12.0,11.3,11.3,11.3,12.0
V5R 5K3,Vancouver,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V6B 6J6,Vancouver,BC,7.0,0.0,,,7.0,7.0,7.0,7.0
V6P 4G1,Vancouver,BC,8.0,8.0,,,8.0,8.0,8.0,8.0
V7P 3M1,North Vancouver,BC,11.0,11.0,11.0,11.3,11.0,11.0,11.0,11.3
32804,Orlando,FL,15.0,12.0,16.0,16.0,16.0,14.0,16.0,15.0
98660,Vancouver,WA,15.0,14.0,15.0,14.0,16.0,15.0,16.0,15.0
V4C 3C8,Delta,BC,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
V3B 0G2,Coquitlam,BC,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0
V6X 3K5,Richmond,BC,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
78766,Austin,TX,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0
97225,Beaverton,OR,13.0,13.0,12.0,,13.0,13.0,13.0,13.0
V5L 4T6,Vancouver,BC,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
V5P 3V3,Vancouver,BC,,,,,,,,
V6J 1M2,Vancouver,BC,10.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0
02095,Westwood,MA,7.0,7.0,7.0,,7.0,7.0,7.0,7.0
V6X 2B6,Vancouver,BC,,,,,,,,
V5L 1T9,Vancouver,BC,11.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0
V6J 3G7,Vancouver,BC,8.0,8.0,8.0,12.0,8.0,8.0,8.0,12.0
V5N 2R5,Vancouver,BC,17.0,9.0,17.0,17.0,17.0,17.0,17.0,17.0
V5V 2G2,Vancouver,BC,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
V6C 1A3,Vancouver,BC,10.45,10.45,10.45,7.3,10.45,10.45,10.45,10.45
V6E 2Y3,Vancouver,BC,10.0,9.0,10.0,8.0,10.0,10.0,11.0,11.0
V6G 2J7,Vancouver,BC,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0
78641,Volente,TX,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
80027,Boulder,CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V7H 1A6,North Vancouver,BC,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0
V7B 0B,Richmond,BC,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
V5H 0A1,Burnaby,BC,11.0,11.0,11.0,,11.0,11.0,11.0,11.0
V6R 1L9,Vancouver,BC,,,,,,,,
V7W 2H1,West Vancouver,BC,11.3,0.0,11.3,7.0,11.3,11.3,11.3,11.3
32839,Lake Buena Vista,FL,0.0,8.15,0.0,0.0,7.0,7.15,8.0,8.15
V5T 0A4,Vancouver,BC,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3
02081,Walpole,MA,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.3
30294,Ellenwood,GA,11.0,12.0,11.0,16.0,13.0,11.0,11.0,12.0
43209,Bexley,OH,16.0,16.3,15.3,12.0,17.0,17.0,17.0,16.3
V7M 3J4,North Vancouver,BC,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0
02246,Brookline,MA,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
97253,Portland,OR,18.0,11.0,11.0,11.0,18.0,18.0,18.0,18.0
V6C 1X6,Vancouver,BC,11.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0
V7A 4E9,Richmond,BC,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
43229,Worthington,OH,15.0,0.0,11.0,13.0,15.0,15.0,15.0,15.0
45459,Columbus,OH,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V7V 1J7,West Vancouver,BC,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0
32830,Walt Disney World,FL,,,,,,,,
V3H 4H2,Port Moody,BC,11.0,5.3,11.3,16.0,11.0,11.0,11.0,16.0
V5L 1B1,Vancouver,BC,7.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0
V6K 2C8,Vancouver,BC,17.0,10.0,17.0,12.0,17.0,17.0,17.0,17.0
43074,Berkshire,OH,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
V6M 2P8,Vancouver,BC,8.0,8.0,8.0,,8.0,8.0,8.0,8.0
V5M 2Z7,Vancouver,BC,9.0,0.0,10.0,10.0,9.0,9.0,9.0,10.0
V5Y 1N3,Vancouver,BC,9.0,8.0,9.0,,9.0,9.0,9.0,9.0
V6E 3H7,Vancouver,BC,10.0,10.0,17.0,10.0,10.0,10.0,10.0,17.0
V5M 2A4,Vancouver,BC,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
V6Z 1X5,Vancouver,BC,,,,,,,,
78619,Buda,TX,8.3,8.3,,,8.3,8.3,8.3,8.3
01742,West Concord,MA,14.0,9.0,12.0,13.0,14.0,9.0,14.0,14.0
97212,portland,OR,9.0,0.0,9.0,,9.0,9.0,9.0,9.0
02072,Stoughon,MA,9.0,9.0,,,9.0,9.0,9.0,9.0
V5H 0G3,Burnaby,BC,,,,,,,,
V6A 0C5,Vancouver,BC,9.0,0.0,,,9.0,9.0,9.0,9.0
02167,Chestnut Hill,MA,,,,,,,,
V5V 4T1,Vancouver,BC,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
V6Y 1V1,Richmond,BC,,0.0,,,10.0,10.0,,10.0
V5G 1H3,Burnaby,BC,7.0,0.0,,,7.0,7.0,7.0,7.0
V5G 3J2,Burnaby,BC,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
30331,Atlanta,GA,12.3,12.0,12.3,14.0,12.0,12.0,12.0,12.0
32751,Maitland,FL,12.0,11.3,12.0,13.0,12.0,12.0,12.0,12.0
43040,Marysville,OH,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0
V5T 1G7,Vancouver,BC,9.3,9.3,8.0,8.0,9.3,9.3,9.3,9.3
V6B 1H7,Vancouver,BC,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0
V6B 2Z4,Vancouver,BC,12.0,9.0,12.0,11.3,12.0,12.0,12.0,12.0
V6G 2L6,Vancouver,BC,17.0,11.0,17.0,17.0,17.0,17.0,17.0,17.0
V6R 3C4,Vancouver,BC,11.3,11.3,11.3,11.0,11.3,11.3,11.3,11.3
34772,Saint Cloud,FL,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
V3R 4G5,Surrey,BC,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
V5N 4E8,Vancouver,BC,12.0,0.0,11.0,14.0,12.0,12.0,12.0,12.0
V5L 3J8,Vancouver,BC,10.3,0.0,10.0,9.3,8.0,9.3,9.3,10.3
V5S 4W2,Vancouver,BC,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0
V7P 1R3,North Vancouver,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V3L 3B3,New Westminster,BC,9.3,9.3,9.0,11.0,9.3,9.3,9.3,9.3
V5L 3H9,Vancouver,BC,8.3,8.3,,,8.3,8.3,8.3,8.3
V6G 1V9,Vancouver,BC,10.0,0.0,9.0,8.0,10.0,10.0,12.0,10.0
V6X 0A8,Richmond,BC,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
V6M 4B5,Vancouver,BC,10.0,0.0,11.0,11.0,10.0,10.0,10.0,11.0
V5E 1E4,Burnaby,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
32821,Bay Lake,FL,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
V6R 3S1,Vancouver,BC,10.0,10.0,10.0,12.0,10.0,10.0,10.0,12.0
V7V 3S6,West Vancouver,BC,9.0,9.0,,,9.0,9.0,9.0,9.0
32753,DeBary,FL,,,,,,,,
43081,New Albany,OH,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V3J 6B1,Coquitlam,BC,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
V7G 2T1,North Vancouver,BC,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0
V5P 1H4,Vancouver,BC,,,,,,,,
30309,East Point,GA,11.15,,11.15,,11.15,,11.15,11.15
V6M 4H3,Vancouver,BC,8.3,8.3,,,8.3,8.3,8.3,8.3
V6V 1W1,Richmond,BC,14.0,0.0,10.0,10.0,14.0,14.0,14.0,14.0
32798,Zellwood,FL,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
97223,Portland,OR,11.0,11.0,12.0,12.0,11.0,11.0,12.0,12.0
V3C,Port Coquitlam,BC,11.0,11.0,16.0,16.0,11.0,11.0,11.0,16.0
V3B 0J1,Coquitlam,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V5A 4X6,Burnaby,BC,10.0,10.0,11.0,11.0,10.0,10.0,10.0,11.0
V6A 2V8,Vancouver,BC,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
V6B 2X6,Vancouver,BC,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
V6J 4Z9,Vancouver,BC,11.0,16.0,11.0,11.0,11.0,11.0,11.0,16.0
32809,ORLANDO,FL,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0
V5C 2K5,Burnaby,BC,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
V5J 1E9,Burnaby,BC,10.0,10.0,10.0,,10.0,10.0,10.0,10.0
V6B 5E7,Vancouver,BC,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
V6C 1C8,Vancouver,BC,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0
V3C 2N4,Port Coquitlam,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V4E 2A6,Delta,BC,9.0,9.0,9.0,,9.0,9.0,9.0,9.0
V5T 3C9,Vancouver,BC,17.0,17.0,22.0,22.0,17.0,17.0,17.0,22.0
V5V 3H4,Vancouver,BC,9.0,9.0,10.0,,9.0,9.0,9.0,10.0
V5N 4B7,Vancouver,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V6Z 4K3,Vancouver,BC,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
V7L 2R4,Vancouver,BC,8.0,8.0,,,8.0,8.0,8.0,8.0
V3E 3A1,Coquitlam,BC,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
V5Y 3W5,Vancouver,BC,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
V6H 1E7,Vancouver,BC,8.0,12.0,10.0,,9.0,9.0,12.0,12.0
32421,Orlando Fl,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V3H 2A7,Port Moody,BC,10.0,,10.0,,10.0,10.0,10.0,10.0
V5N 3P3,Vancouver,BC,11.3,11.3,,,11.3,11.3,11.3,11.3
V7M 1A6,North Vancouver,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V5T 3J5,Vancouver,BC,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
V6X 3P8,Richmond,BC,17.3,17.0,17.3,17.3,17.3,17.0,17.3,17.3
V6X 4E8,Richmond,BC,17.0,17.0,17.0,17.0,17.0,17.0,12.0,17.0
V6X 4J7,Richmond,BC,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
V5K,Vancouver,BC,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
V6B 3N6,Vancouver,BC,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
V7L 2L7,North Vancouver,BC,,,,,,,,
97535,Phoenix,OR,9.3,9.3,,,9.3,9.3,9.3,9.3
V6G 3H4,Vancouver,BC,,,,,,,,
30331,ATLANTA,GA,8.0,8.0,,,8.0,8.0,8.0,8.0
80604,Erie,CO,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V3N 1C1,Burnaby,BC,12.0,,12.0,12.0,12.0,12.0,12.0,12.0
V5L 3V4,Vancouver,BC,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3
02135,Oak Square,MA,,,,,,,,
V5N 5Z2,Vancouver,BC,10.0,10.0,10.0,10.0,12.0,0.0,12.0,12.0
V6B 0A2,Vancouver,BC,8.0,8.0,8.0,,8.0,8.0,8.0,8.0
V7J 3J7,North Vancouver,BC,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0
V7L 1E5,North Vancouver,BC,11.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0
02184,Braintree Ma,MA,6.0,6.0,6.0,,6.0,6.0,6.0,6.0
V7G,North Vancouver,BC,,,,,,,,
V5J 1G8,Burnaby,BC,8.0,0.0,8.0,,8.0,8.0,8.0,8.0
V7C 1H2,Richmond,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
43035,columbus,OH,17.0,0.0,17.0,,17.0,17.0,17.0,17.0
V3M 6H7,New Westminister,BC,9.3,9.3,9.3,9.3,9.3,6.0,9.3,9.3
V3M 1A6,New Westminster,BC,11.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0
V3L 0A5,New Westminster,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V6G 1B1,Vancouver,BC,8.3,8.3,,,8.3,8.3,8.3,8.3
01862,Billerica,MA,11.0,11.3,12.0,12.0,11.0,11.3,11.3,11.3
02132,West Roxbury,MA,12.0,11.3,11.3,12.0,12.0,11.3,12.0,12.0
30326,ATLANTA,GA,7.3,0.0,,,7.3,7.3,7.3,7.3
32822,Orlando,FL,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.3
97124,Hillsboro,OR,14.0,11.3,12.0,13.0,15.0,14.0,14.0,13.0
V6B 3G7,Vancouver,BC,12.0,11.0,16.0,8.0,12.0,12.0,12.0,12.0
V6Z 2H7,Vancouver,BC,11.0,11.0,10.3,10.3,11.0,11.0,11.0,11.0
V7B 0A4,Richmond,BC,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
97223,Beaverton,OR,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
V5Z 4R2,Vancouver,BC,10.3,0.0,11.3,,10.3,10.3,10.3,11.3
V6E 4L7,Vancouver,BC,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0
V5R 4G8,Vancouver,BC,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
V5T 3K5,Vancouver,BC,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
V7L 2P9,North Vancouver,BC,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3
V6B 1R3,Vancouver,BC,11.0,11.0,13.0,12.0,11.0,11.0,11.0,12.0
V3L 5H1,New Westminster,BC,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0
V7P 3K6,North Vancouver,BC,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0
V5C 5T8,Burnaby,BC,10.0,10.0,9.3,,10.0,10.0,10.0,10.0
V6A 3W9,Vancouver,BC,10.0,10.0,10.0,12.0,10.0,10.0,10.0,12.0
V6G 2V7,Vancouver,BC,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
V5C 5C2,Burnaby,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V5G 4W6,Burnaby,BC,8.0,8.0,,,8.0,8.0,8.0,8.0
V6E 1H1,Vancouver,BC,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
V6H 3H1,Vancouver,BC,9.0,9.0,10.0,,9.0,9.0,9.0,10.0
78619,"Driftwood, TX",TX,7.0,7.0,,,7.0,7.0,7.0,7.0
V5Y 1K6,Vancouver,BC,,,,,,,,
V5N 0A6,Vancouver,BC,8.3,0.0,8.3,8.3,8.3,8.3,8.3,8.3
02143,SOMERVILLE,MA,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0
43074,Berkshire Township,OH,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0
97008,Beaverton,OR,13.0,12.0,12.0,13.0,15.0,15.0,15.0,13.0
97208,Portland,OR,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0
V3W 1E6,Surrey,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
33765,Orlando,FL,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V6B 2V2,Vancouver,BC,10.3,10.0,10.3,12.0,10.3,10.3,10.3,12.0
V6E 1N4,Vancouver,BC,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
V6J 1L6,Vancouver,BC,10.0,9.0,10.0,12.0,10.0,10.0,10.0,10.0
V6Y 2C1,Richmond,BC,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
V7J 2A3,North Vancouver,BC,11.3,11.3,11.3,12.0,11.3,11.3,11.3,11.3
V5C 3J1,Burnaby,BC,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
02475,Arlington,MA,6.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0
V5H 4L7,Burnaby,BC,11.3,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V6A 1E7,Vancouver,BC,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3
V6B 2V5,Vancouver,BC,13.0,13.0,13.0,,13.0,13.0,13.0,13.0
V5H 1Y9,Burnaby,BC,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
V7K 2W9,North Vancouver,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V3V 4C1,Surrey,BC,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
V7C 5S7,Richmond,BC,11.0,0.0,11.0,,11.0,11.0,11.0,11.0
98610,Portland,WA,7.0,7.0,7.0,7.0,,7.0,7.0,7.0
V5V 3C8,Vancouver,BC,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0
V5Y 1V4,Vancouver,BC,8.3,8.3,,,8.3,8.3,8.3,8.3
V6J 1C6,Vancouver,BC,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
V6X 1A1,Richmond,BC,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
97006,Portland,OR,9.0,9.0,9.0,11.0,9.0,9.0,9.0,11.0
V5L 2T6,Vancouver,BC,17.0,,17.0,17.0,17.0,,17.0,17.0
V5E 1M1,Burnaby,BC,8.0,8.0,8.0,,8.0,8.0,8.0,8.0
02205,Boston,MA,9.0,9.0,6.0,7.0,9.0,9.0,9.0,9.0
32771,Winter Springs,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
